PNR,train_no,staion,destination,age,start_journey,end_journey
120789123811,12157,pune,kurduwadi,1990-07-12,2024-03-12,2024-03-13
122229939388,12297,mumbai,pune,1993-02-13,2024-08-12,2024-08-21
122233889489,7305,hubli,pune,1993-09-11,2024-04-10,2024-04-11
122239399399,7305,hubli,kolhapur,1993-01-12,2024-03-12,2024-03-12
122938388389,1552,pune,akurdi,2003-03-12,2024-03-25,2024-03-25
125272928399,12527,mumbai,lonavala,1996-06-14,2024-03-24,2024-03-24
128383838839,22106,pune,lonavla,1997-08-18,2024-03-28,2024-03-28
128829383899,11029,mumbai,kolhapur,1998-09-11,2024-03-18,2024-04-18
129009099399,12157,daund,solapur,1991-04-23,2024-04-12,2024-04-13
129238899399,11033,pune,darbhanga,2001-03-13,2024-04-22,2024-04-23
129290939390,11029,pune,sangli,2000-01-12,2024-03-23,2024-03-19
129929338888,12297,ahmadabad,mumbai,1990-09-12,2024-05-21,2024-05-22
129998388999,12528,latur,pune,1994-09-29,2024-03-28,2024-03-28
129999939993,12528,latur,mumbai,1995-03-12,2024-02-12,2024-02-13
